id,clan_battle_id,period,lap_num_from,lap_num_to,ranking_bonus_group,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
1,1001,1,1,1,0,8,91002,500,2,90006,500,2,31043,5,0,0,0,0,0,0
2,1001,1,2,2,0,8,91002,1000,2,90006,1000,2,31043,8,0,0,0,0,0,0
3,1001,1,3,3,0,8,91002,1500,2,90006,1500,2,31043,10,0,0,0,0,0,0
4,1001,1,4,4,0,8,91002,2000,2,90006,2000,2,31043,12,0,0,0,0,0,0
5,1001,1,5,5,0,8,91002,2500,2,90006,2500,2,31043,14,0,0,0,0,0,0
6,1001,1,6,6,0,8,91002,3000,2,90006,3000,2,31043,16,0,0,0,0,0,0
7,1001,1,7,7,0,8,91002,3500,2,90006,3500,2,31043,18,0,0,0,0,0,0
8,1001,1,8,9,0,8,91002,4000,2,90006,4000,2,31043,20,0,0,0,0,0,0
9,1001,1,10,-1,0,8,91002,4500,2,90006,4500,2,31043,25,0,0,0,0,0,0
10,1002,1,1,1,0,8,91002,500,2,90006,500,2,31022,5,0,0,0,0,0,0
11,1002,1,2,2,0,8,91002,1000,2,90006,1000,2,31022,8,0,0,0,0,0,0
12,1002,1,3,3,0,8,91002,1500,2,90006,1500,2,31022,10,0,0,0,0,0,0
13,1002,1,4,4,0,8,91002,2000,2,90006,2000,2,31022,12,0,0,0,0,0,0
14,1002,1,5,5,0,8,91002,2500,2,90006,2500,2,31022,14,0,0,0,0,0,0
15,1002,1,6,6,0,8,91002,3000,2,90006,3000,2,31022,16,0,0,0,0,0,0
16,1002,1,7,7,0,8,91002,3500,2,90006,3500,2,31022,18,0,0,0,0,0,0
17,1002,1,8,8,0,8,91002,4000,2,90006,4000,2,31022,20,0,0,0,0,0,0
18,1002,1,9,9,0,8,91002,4500,2,90006,4500,2,31022,25,0,0,0,0,0,0
19,1002,1,10,-1,0,8,91002,5000,2,90006,5000,2,31022,30,0,0,0,0,0,0
20,1003,1,1,1,0,8,91002,500,2,90006,500,2,31042,5,0,0,0,0,0,0
21,1003,1,2,2,0,8,91002,1000,2,90006,1000,2,31042,8,0,0,0,0,0,0
22,1003,1,3,3,0,8,91002,1500,2,90006,1500,2,31042,10,0,0,0,0,0,0
23,1003,1,4,4,0,8,91002,2000,2,90006,2000,2,31042,12,0,0,0,0,0,0
24,1003,1,5,5,0,8,91002,2500,2,90006,2500,2,31042,14,0,0,0,0,0,0
25,1003,1,6,6,0,8,91002,3000,2,90006,3000,2,31042,16,0,0,0,0,0,0
26,1003,1,7,7,0,8,91002,3500,2,90006,3500,2,31042,18,0,0,0,0,0,0
27,1003,1,8,8,0,8,91002,4000,2,90006,4000,2,31042,20,0,0,0,0,0,0
28,1003,1,9,9,0,8,91002,4500,2,90006,4500,2,31042,25,0,0,0,0,0,0
29,1003,1,10,-1,0,8,91002,5000,2,90006,5000,2,31042,30,0,0,0,0,0,0
30,1004,1,1,1,0,8,91002,500,2,90006,500,2,31018,5,0,0,0,0,0,0
31,1004,1,2,2,0,8,91002,1000,2,90006,1000,2,31018,8,0,0,0,0,0,0
32,1004,1,3,3,0,8,91002,1500,2,90006,1500,2,31018,10,0,0,0,0,0,0
33,1004,1,4,4,0,8,91002,2000,2,90006,2000,2,31018,12,0,0,0,0,0,0
34,1004,1,5,5,0,8,91002,2500,2,90006,2500,2,31018,14,0,0,0,0,0,0
35,1004,1,6,6,0,8,91002,3000,2,90006,3000,2,31018,16,0,0,0,0,0,0
36,1004,1,7,7,0,8,91002,3500,2,90006,3500,2,31018,18,0,0,0,0,0,0
37,1004,1,8,8,0,8,91002,4000,2,90006,4000,2,31018,20,0,0,0,0,0,0
38,1004,1,9,9,0,8,91002,4500,2,90006,4500,2,31018,25,0,0,0,0,0,0
39,1004,1,10,-1,0,8,91002,5000,2,90006,5000,2,31018,30,0,0,0,0,0,0
40,1005,1,1,1,0,8,91002,500,2,90006,500,2,31025,5,0,0,0,0,0,0
41,1005,1,2,2,0,8,91002,1000,2,90006,1000,2,31025,8,0,0,0,0,0,0
42,1005,1,3,3,0,8,91002,1500,2,90006,1500,2,31025,10,0,0,0,0,0,0
43,1005,1,4,4,0,8,91002,2000,2,90006,2000,2,31025,12,0,0,0,0,0,0
44,1005,1,5,5,0,8,91002,2500,2,90006,2500,2,31025,14,0,0,0,0,0,0
45,1005,1,6,6,0,8,91002,3000,2,90006,3000,2,31025,16,0,0,0,0,0,0
46,1005,1,7,7,0,8,91002,3500,2,90006,3500,2,31025,18,0,0,0,0,0,0
47,1005,1,8,8,0,8,91002,4000,2,90006,4000,2,31025,20,0,0,0,0,0,0
48,1005,1,9,9,0,8,91002,4500,2,90006,4500,2,31025,25,0,0,0,0,0,0
49,1005,1,10,-1,0,8,91002,5000,2,90006,5000,2,31025,30,0,0,0,0,0,0
50,1006,1,1,1,0,8,91002,500,2,90006,500,2,31043,5,0,0,0,0,0,0
51,1006,1,2,2,0,8,91002,1000,2,90006,1000,2,31043,8,0,0,0,0,0,0
52,1006,1,3,3,0,8,91002,1500,2,90006,1500,2,31043,10,0,0,0,0,0,0
53,1006,1,4,4,0,8,91002,2000,2,90006,2000,2,31043,12,0,0,0,0,0,0
54,1006,1,5,5,0,8,91002,2500,2,90006,2500,2,31043,14,0,0,0,0,0,0
55,1006,1,6,6,0,8,91002,3000,2,90006,3000,2,31043,16,0,0,0,0,0,0
56,1006,1,7,7,0,8,91002,3500,2,90006,3500,2,31043,18,0,0,0,0,0,0
57,1006,1,8,8,0,8,91002,4000,2,90006,4000,2,31043,20,0,0,0,0,0,0
58,1006,1,9,9,0,8,91002,4500,2,90006,4500,2,31043,25,0,0,0,0,0,0
59,1006,1,10,-1,0,8,91002,5000,2,90006,5000,2,31043,30,0,0,0,0,0,0
60,1007,1,1,1,0,8,91002,500,2,90006,500,2,31022,5,0,0,0,0,0,0
61,1007,1,2,2,0,8,91002,1000,2,90006,1000,2,31022,8,0,0,0,0,0,0
62,1007,1,3,3,0,8,91002,1500,2,90006,1500,2,31022,10,0,0,0,0,0,0
63,1007,1,4,4,0,8,91002,2000,2,90006,2000,2,31022,12,0,0,0,0,0,0
64,1007,1,5,5,0,8,91002,2500,2,90006,2500,2,31022,14,0,0,0,0,0,0
65,1007,1,6,6,0,8,91002,3000,2,90006,3000,2,31022,16,0,0,0,0,0,0
66,1007,1,7,7,0,8,91002,3500,2,90006,3500,2,31022,18,0,0,0,0,0,0
67,1007,1,8,8,0,8,91002,4000,2,90006,4000,2,31022,20,0,0,0,0,0,0
68,1007,1,9,9,0,8,91002,4500,2,90006,4500,2,31022,25,0,0,0,0,0,0
69,1007,1,10,-1,0,8,91002,5000,2,90006,5000,2,31022,30,0,0,0,0,0,0
